,Date,Close,High,Low,Open,Volume
0,2004-03-11,2.61872935295105,2.6187293529510494,2.4141411303813545,2.455058670836342,17414690
1,2004-03-12,2.509614944458008,2.60508953207896,2.509614944458008,2.5641717401782707,668350000
2,2004-03-15,2.4823365211486816,2.5368933134508636,2.4823365211486816,2.5232540503384917,346345000
3,2004-03-16,2.4686975479125977,2.49597581719307,2.455058283198693,2.4686975479125977,136384000
4,2004-03-17,2.509614944458008,2.509614944458008,2.482336676671537,2.482336676671537,88608000
5,2004-03-18,2.6050894260406494,2.686924746363657,2.536893369129362,2.536893369129362,434665000
6,2004-03-19,2.564171552658081,2.61872860453586,2.536893286866495,2.6050893415664156,143926000
7,2004-03-22,2.564171552658081,2.577810815627526,2.536893286866495,2.55053254983594,58955000
8,2004-03-23,2.52325439453125,2.5778111942754305,2.5096151295583695,2.550532924477011,116939000
9,2004-03-24,2.509614944458008,2.5505327363586967,2.509614944458008,2.509614944458008,55179000
10,2004-03-25,2.4959757328033447,2.5368935255616147,2.482336728697916,2.523254261308858,67462000
11,2004-03-26,2.550532579421997,2.5641715824023503,2.495975526911359,2.509614790039018,94666000
12,2004-03-29,2.550532579421997,2.550532579421997,2.523254053166678,2.5368933162943375,63565000
13,2004-03-30,2.509614944458008,2.60508953207896,2.509614944458008,2.5505327363586967,78943000
14,2004-03-31,2.550532579421997,2.550532579421997,2.509614790039018,2.5368933162943375,48702000
15,2004-04-01,2.686924934387207,2.72784246733835,2.5368935466541314,2.550532811020289,269056000
16,2004-04-02,2.7551212310791016,2.8096780330500306,2.659646632519462,2.700564168960821,494402000
17,2004-04-05,3.164297580718994,3.191575851153517,2.7551211828750217,2.809677983891415,780286000
18,2004-04-06,3.164297580718994,3.164297580718994,3.164297580718994,3.164297580718994,0
19,2004-04-07,3.027905225753784,3.2188541453627324,2.946069900164998,3.1370188197739464,728118000
20,2004-04-08,2.8915133476257324,3.082462283378975,2.8642348167406904,3.0279054817562416,650127000
21,2004-04-09,2.973348617553711,3.0279056829489015,2.83695647436047,2.8915135397556604,375520000
22,2004-04-12,3.0824618339538574,3.137018627622172,2.9460697197094152,3.0006265133777297,269604000
23,2004-04-13,3.0824618339538574,3.0824618339538574,3.0824618339538574,3.0824618339538574,0
24,2004-04-14,3.0824618339538574,3.0824618339538574,3.0824618339538574,3.0824618339538574,0
25,2004-04-15,3.0824618339538574,3.0824618339538574,3.0824618339538574,3.0824618339538574,0
26,2004-04-16,3.191575765609741,3.2734110950145734,3.1097404362049086,3.137018966055633,527144000
27,2004-04-19,3.0824618339538574,3.2461322149588008,3.055183307046044,3.1915754212904863,414932000
28,2004-04-20,3.191575765609741,3.191575765609741,3.0551836366508005,3.137018966055633,380391000
29,2004-04-21,3.1097404956817627,3.2188543570242296,3.1097404956817627,3.164297556426669,343905000
30,2004-04-22,2.973348617553711,3.1370192934445473,2.973348617553711,3.1370192934445473,507399000
31,2004-04-23,2.918790817260742,3.0279046507057528,2.891512554009949,3.0006261273076804,321456000
32,2004-04-26,2.8915133476257324,2.946070149248466,2.8369562858556483,2.8642348167406904,221374000
33,2004-04-27,3.027905225753784,3.027905225753784,2.918791371586293,2.918791371586293,268114000
