Unnamed: 0,Date,Close,High,Low,Open,Volume,Rolling_Mean,Rolling_SD,Range_Upper_1SD,Range_Lower_1SD,Range_Upper_2SD,Range_Lower_2SD,Range_Upper_3SD,Range_Lower_3SD
626,2006-08-28,3.2046358585357666,3.320118117715024,3.2046358585357666,3.320118117715024,22119000,3.370641493797302,0.05370644181830385,3.424347935615606,3.3169350519789984,3.4780543774339097,3.2632286101606947,3.531760819252214,3.2095221683423905
707,2006-12-19,3.257080554962158,3.550511225505153,2.9343067054299468,3.462481968374796,103990,3.811664319038391,0.17133616635155335,3.983000485389945,3.6403281526868376,4.154336651741498,3.4689919863352845,4.325672818093051,3.2976558199837314
1062,2008-05-30,3.2605342864990234,3.382423595241157,3.2605342864990234,3.382423595241157,26331000,3.379376840591431,0.03685928735522804,3.416236127946659,3.3425175532362026,3.453095415301887,3.3056582658809748,3.489954702657115,3.2687989785257465
1244,2009-02-23,1.3418980836868286,1.3988271367781788,1.3337653756665682,1.3988271367781788,33202000,1.4602291464805603,0.0390900676108625,1.4993192140914229,1.4211390788696978,1.5384092817022854,1.3820490112588353,1.5774993493131477,1.342958943647973
1402,2009-10-15,3.0701003074646,3.43607236518171,3.029436573141316,3.4157404980200683,124724000,3.4899519205093386,0.12555476626696563,3.615506686776304,3.364397154242373,3.7410614530432698,3.2388423879754074,3.8666162193102354,3.1132876217084418
1520,2010-04-08,2.9592432975769043,3.103095562917361,2.9592432975769043,3.0825451833021686,51828000,3.1462510824203496,0.06179493808169218,3.208046020502042,3.0844561443386573,3.269840958583734,3.022661206256965,3.3316358966654263,2.960866268175273
1523,2010-04-16,2.7742905616760254,2.8975924428103568,2.753740182825991,2.8975924428103568,26154000,3.119535660743714,0.11463276293057592,3.23416842367429,3.004902897813138,3.3488011866048657,2.890270134882562,3.4634339495354416,2.7756373719519862
1524,2010-04-19,2.568787813186645,2.692089706612788,2.568787813186645,2.692089706612788,30796000,3.089737737178803,0.16751961432980542,3.257257351508608,2.9222181228489976,3.4247769658384137,2.754698508519192,3.592296580168219,2.5871788941893867
1874,2011-09-23,3.56436824798584,3.7102778175083113,3.3767700028439904,3.7102778175083113,80235000,3.9072560906410216,0.10617224703467024,4.013428337675692,3.801083843606351,4.119600584710362,3.6949115965716812,4.225772831745032,3.588739349537011
1875,2011-09-26,3.105794668197632,3.522679869232823,3.022417707505136,3.4809915876729294,181679000,3.8697364687919618,0.20847267960376958,4.0782091483957315,3.661263789188192,4.286681827999501,3.452791109584423,4.495154507603271,3.244318429980653
2736,2015-03-30,25.159656524658203,26.59735152598322,25.069800265725597,26.59735152598322,105690000,26.61083173751831,0.4490670672365796,27.05989880475489,26.16176467028173,27.50896587199147,25.71269760304515,27.958032939228048,25.263630535808574
3109,2016-10-11,34.856807708740234,35.77409212212814,34.67335012623018,35.68236508045428,72421000,36.40243129730224,0.46227344646006935,36.86470474376231,35.940157850842176,37.326978190222384,35.4778844043821,37.78925163668245,35.015610957922036
3110,2016-10-12,32.65531921386719,34.673345344872885,27.51852860690893,34.58161831584793,208246000,36.209801483154294,0.9555333366142432,37.16533481976854,35.25426814654005,38.120868156382784,34.298734809925804,39.07640149299702,33.34320147331157
3577,2018-09-11,58.66683578491211,61.50555364547237,58.66683578491211,61.03243400204566,66091000,61.836739730834964,1.0135675908583714,62.850307321693336,60.82317213997659,63.86387491255171,59.80960454911822,64.87744250341008,58.79603695825985
3875,2019-11-28,72.6233139038086,74.54711029861147,72.6233139038086,74.54711029861147,65932300,76.47089767456055,1.203636249234064,77.67453392379461,75.26726142532648,78.87817017302868,74.06362517609242,80.08180642226274,72.85998892685835
4358,2021-11-29,58.63473892211914,61.578742550007966,58.144071650804335,61.33340891435056,97606300,64.62087860107422,1.7464180841676282,66.36729668524185,62.874460516906595,68.11371476940948,61.128042432738965,69.86013285357711,59.381624348571336
4750,2023-07-13,67.9574203491211,69.4294222339396,67.9574203491211,69.18408858646985,46426100,70.11635627746583,0.6920801124965621,70.8084363899624,69.42427616496926,71.50051650245895,68.7321960524727,72.1925966149555,68.04011593997615
4840,2023-11-23,61.33340835571289,64.76807922363281,60.35207382202148,64.76807922363281,177132800,66.4486162185669,1.4918287864604984,67.9404450050274,64.9567874321064,69.43227379148789,63.4649586456459,70.92410257794839,61.973129859185406
5061,2024-10-24,60.71637344360352,62.44407512695808,60.469558917410005,62.19726060076457,30094900,62.937702369689944,0.6934888732939097,63.63119124298385,62.244213496396036,64.32468011627776,61.55072462310213,65.01816898957168,60.85723574980821
5137,2025-02-14,47.0,54.25,46.5,54.25,174946100,55.65,2.3047433924981724,57.95474339249817,53.345256607501824,60.25948678499634,51.04051321500366,62.564230177494515,48.73576982250548
5138,2025-02-17,43.25,45.0,41.5,43.75,144230400,54.95,3.571266913634656,58.52126691363466,51.378733086365344,62.092533827269314,47.80746617273069,65.66380074090397,44.23619925909603
